id,category,priority,route,url,qaStatus,testedBy,testedAt,device,browser,notes,expectedResult,failureMeans
CORE-001,core_route,critical,/,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
CORE-002,core_route,critical,/magazine,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
CORE-003,core_route,critical,/charts,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/charts,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
CORE-004,core_route,critical,/artists,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/artists,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
CORE-005,core_route,critical,/releases,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/releases,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
CORE-006,core_route,critical,/tracks,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/tracks,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
CORE-007,core_route,critical,/search,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/search,pending,,,,,,"React page loads, main UI renders, no blank screen, no console-blocking runtime error.",Core route is not ready for cutover.
ARTICLE-001,sample_safe_redirect_target,high,/magazine/10-contemporary-kenyan-artists-you-should-know,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine/10-contemporary-kenyan-artists-you-should-know,pending,,,,,,"Magazine/article page loads, title/content shell renders, no old WordPress upload/wp-json leak is visible.",Safe redirect target may not be safe to send legacy traffic to.
ARTICLE-002,sample_safe_redirect_target,high,/magazine/10-kenyan-authors-you-should-read,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine/10-kenyan-authors-you-should-read,pending,,,,,,"Magazine/article page loads, title/content shell renders, no old WordPress upload/wp-json leak is visible.",Safe redirect target may not be safe to send legacy traffic to.
ARTICLE-003,sample_safe_redirect_target,high,/magazine/10-places-in-nairobi-to-explore-art-music-and-design,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine/10-places-in-nairobi-to-explore-art-music-and-design,pending,,,,,,"Magazine/article page loads, title/content shell renders, no old WordPress upload/wp-json leak is visible.",Safe redirect target may not be safe to send legacy traffic to.
ARTICLE-004,sample_safe_redirect_target,high,/magazine/15-fatoumata-diawara-songs,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine/15-fatoumata-diawara-songs,pending,,,,,,"Magazine/article page loads, title/content shell renders, no old WordPress upload/wp-json leak is visible.",Safe redirect target may not be safe to send legacy traffic to.
ARTICLE-005,sample_safe_redirect_target,high,/magazine/15-things-to-do-home-5-months,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine/15-things-to-do-home-5-months,pending,,,,,,"Magazine/article page loads, title/content shell renders, no old WordPress upload/wp-json leak is visible.",Safe redirect target may not be safe to send legacy traffic to.
TAG-001,sample_tag_search_target,high,/search?tag=2026,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/search?tag=2026,pending,,,,,,Search page loads with tag query preserved; search UI does not crash or blank.,Tag archive redirect pattern needs revision before cutover.
TAG-002,sample_tag_search_target,high,/search?tag=4mr%20frank%20white,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/search?tag=4mr%20frank%20white,pending,,,,,,Search page loads with tag query preserved; search UI does not crash or blank.,Tag archive redirect pattern needs revision before cutover.
TAG-003,sample_tag_search_target,high,/search?tag=60%20nozzles,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/search?tag=60%20nozzles,pending,,,,,,Search page loads with tag query preserved; search UI does not crash or blank.,Tag archive redirect pattern needs revision before cutover.
TAG-004,sample_tag_search_target,high,/search?tag=8%204%204,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/search?tag=8%204%204,pending,,,,,,Search page loads with tag query preserved; search UI does not crash or blank.,Tag archive redirect pattern needs revision before cutover.
TAG-005,sample_tag_search_target,high,/search?tag=8th%20street%20gang,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/search?tag=8th%20street%20gang,pending,,,,,,Search page loads with tag query preserved; search UI does not crash or blank.,Tag archive redirect pattern needs revision before cutover.
EXTRA-REDIRECT-001,ready_extra_redirect_target,medium,/magazine,<REACT_PREVIEW_OR_CUTOVER_ORIGIN>/magazine,pending,,,,,,Magazine landing route loads correctly as the fallback destination.,Ready extra redirects to /magazine should not be applied.
